順位,銘柄コード,証券,企業名,取引月日,取引値,上場年月日,決算年月,時価総額
1,7944,東証1部,ローランド(株),10/24,"1,870",2020/12/16,2019/12,"44,573"
2,4015,マザーズ,アララ(株),15:00,"3,490",2020/11/19,2020/08,"21,378"
3,7356,マザーズ,Ｒｅｔｔｙ(株),15:00,"1,888",2020/10/30,2020/09,"20,417"
4,4934,マザーズ,プレミアアンチエイジング(株),15:00,"6,180",2020/10/28,2020/07,"53,766"
5,7097,マザーズ,(株)さくらさくプラス,15:00,"2,508",2020/10/28,2020/07,"10,358"
6,4014,マザーズ,(株)カラダノート,15:00,"1,881",2020/10/27,2020/07,"11,278"
7,7692,東証JQS,(株)アースインフィニティ,15:00,"4,325",2020/10/16,2020/07,"13,231"
8,4013,マザーズ,日通システム(株),15:00,"3,650",2020/10/13,2019/12,"38,033"
9,7354,東証1部,(株)ダイレクトマーケティングミックス,15:00,"2,703",2020/10/05,2019/12,"54,197"
10,2987,マザーズ,(株)タスキ,15:00,"2,906",2020/10/02,2020/09,"15,402"
11,7337,東証1部,(株)ひろぎんホールディングス,15:00,600,2020/10/01,,"187,423"
12,7338,東証JQS,インヴァスト(株),13:21,682,2020/10/01,,"4,008"
13,7339,マザーズ,アイペットホールディングス(株),13:59,"2,120",2020/10/01,,"22,892"
14,4012,マザーズ,(株)アクシス,15:00,"3,485",2020/09/30,2019/12,"7,144"
15,4011,マザーズ,(株)ヘッドウォータース,15:00,"16,020",2020/09/29,2019/12,"14,783"
16,4060,マザーズ,ｒａｋｕｍｏ(株),15:00,"2,243",2020/09/28,2019/12,"12,330"
17,2932,東証2部,(株)ＳＴＩフードホールディングス,15:00,"3,690",2020/09/25,2019/12,"20,278"
18,4933,マザーズ,(株)Ｉ－ｎｅ,15:00,"3,945",2020/09/25,2019/12,"34,065"
19,4058,マザーズ,トヨクモ(株),15:00,"5,330",2020/09/24,2019/12,"26,927"
20,4059,東証JQS,(株)まぐまぐ,15:00,"2,199",2020/09/24,2020/09,"6,069"
21,4930,東証JQS,(株)グラフィコ,15:00,"4,415",2020/09/24,2020/06,"4,071"
22,1375,東証1部,(株)雪国まいたけ,15:00,"1,758",2020/09/17,2020/03,"70,056"
